Course Name,Tee Name,Slope Rating,Course Rating,Par
GERMISTON GOLF CLUB,White,129,72.9,72
GERMISTON GOLF CLUB,Yellow,132,74.2,72
GLENCOE CORR SERVICES GC,Back,134,72.5,72
GLENCOE CORR SERVICES GC,Front,125,68.5,72
GLENDOWER GOLF CLUB,Blue,135,71.3,72
GLENDOWER GOLF CLUB,Red,129,68.2,72
GLENDOWER GOLF CLUB,White,142,74.1,72
GLENDOWER GOLF CLUB,Yellow,146,76.3,72
GLENVISTA COUNTRY CLUB,Blue,134,71.1,72
GLENVISTA COUNTRY CLUB,Red,122,68.1,72
GLENVISTA COUNTRY CLUB,White,138,72.2,72
GLENVISTA COUNTRY CLUB,Yellow,142,73.8,72
Glenwood Golf Club,Red,77,54.9,58
Glenwood Golf Club,White,82,57.1,58
GOLDFIELDS WEST GOLF CLUB,Blue,122,69.5,72
GOLDFIELDS WEST GOLF CLUB,Red,110,65.6,72
GOLDFIELDS WEST GOLF CLUB,White,136,72.5,72
GONUBIE GOLF CLUB,Blue,127,70.3,72
GONUBIE GOLF CLUB,Red,117,66.8,72
GONUBIE GOLF CLUB,Yellow,130,71.6,72
GOOSE VALLEY GOLF CLUB,Blue,121,68.4,72
GOOSE VALLEY GOLF CLUB,Red,113,65.5,72
GOOSE VALLEY GOLF CLUB,White,127,70.2,72
GOOSE VALLEY GOLF CLUB,Yellow,129,71.6,72
GOWRIE FARM GOLF CLUB,Blue,124,69,71
GOWRIE FARM GOLF CLUB,Red,114,65.3,71
GOWRIE FARM GOLF CLUB,White,131,71.4,71
GOWRIE FARM GOLF CLUB,Yellow,133,73,71
GRAAFF-REINET GOLF CLUB,Blue,120,68.8,72
GRAAFF-REINET GOLF CLUB,Red,112,65.6,72
GRAAFF-REINET GOLF CLUB,White,127,71.3,72
GRACELAND COUNTRY CLUB,Blue,121,69.4,72
GRACELAND COUNTRY CLUB,Red,114,65.7,72
GRACELAND COUNTRY CLUB,White,129,72.4,72
GREATER DURBAN GOLF CLUB,White,127,70.5,72
GREATER DURBAN GOLF CLUB,Yellow,130,71.9,72
GREENSIDE GOLF CLUB,Back,121,71.7,72
GREENSIDE GOLF CLUB,Front,111,66.6,72
GREYTOWN COUNTRY CLUB,Blue,122,69.7,70
